"NET_INCOME","OP_PROFIT_LOSS","OP_REVENUES","PAX_SERVICE","AIRCFT_SERVICES","PROMOTION_SALES","OP_EXPENSES","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","REGION","YEAR","QUARTER",
-1808.00,13686.00,370438.00,21332.00,38781.00,22929.00,356752.00,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.","L",2007,3,
-1804.28,-1715.75,11269.29,,,,12985.04,20093,"CTQ","Custom Air Transport","CTQ","Custom Air Transport","D",2006,1,
-1803.13,-1719.21,27466.88,,,,29186.09,20308,"WE","Centurion Cargo Inc.","WE","Challenge Air Cargo Inc.","L",1996,2,
-1797.15,-1083.88,8282.69,539.02,939.56,715.03,9366.57,21171,"VX","Virgin America","VX","Virgin America","L",2011,4,
-1796.90,-1260.06,59386.06,1766.51,12110.85,7698.15,60646.11,20237,"AX","Trans States Airlines","9N","Trans States Airlines","D",1999,3,
-1796.76,-1732.97,5351.85,890.09,212.04,8.95,7084.81,20423,"U5","USA 3000 Airlines","U5","USA 3000 Airlines","D",2010,1,
-1791.66,-2166.55,19250.42,1234.48,2732.94,5.40,21416.96,20204,"MG","Champion Air","MG","Champion Air","D",2006,3,
-1789.58,-1756.85,7294.95,,,,9051.80,20287,"WP","Island Air Hawaii","WP","Island Air Hawaii","D",2013,2,
-1787.91,-1886.96,16201.33,2740.92,564.04,77.03,18088.29,20423,"U5","USA 3000 Airlines","U5","USA 3000 Airlines","D",2009,1,
-1785.00,-3305.00,5142.00,1684.00,2007.00,301.00,8447.00,19704,"CO","Continental Air Lines Inc.","CO","Continental Air Lines Inc.","P",1993,4,
-1783.93,-1783.93,11064.58,772.19,1955.32,0.00,12848.51,20344,"RD","Ryan International Airlines","RD","Ryan International Airlines","D",2011,1,
-1782.12,806.93,7998.64,,,,7191.71,19952,"KW","Carnival Air Lines Inc.","KW","Carnival Air Lines Inc.","L",1993,1,
-1782.00,-1103.52,8921.25,,,,10024.77,,"","","NA","","D",1995,4,
-1781.14,-2934.39,,,,,2934.39,19392,"RIQ","Rich International Airways","RIQ","Rich International Airways","D",1997,1,
-1780.51,-1636.03,26443.00,844.59,4613.56,363.22,28079.03,20423,"U5","USA 3000 Airlines","U5","USA 3000 Airlines","D",2006,3,
-1779.66,-5117.71,11864.58,,,,16982.29,20379,"ZKQ","Zantop International","ZKQ","Zantop International","D",1993,1,
-1779.42,-2255.76,32008.43,,,,34264.19,20151,"M6","Amerijet International","M6","Amerijet International","L",2006,2,
-1778.49,-1580.90,138.96,,,,1719.86,20146,"SPQ","Sun Pacific International","SPQ","Sun Pacific International","D",1999,3,
-1777.94,-1686.04,13501.94,0.00,0.00,0.00,15187.98,20169,"L2","Lynden Air Cargo Airlines","L2","Lynden Air Cargo Airlines","D",2017,4,
-1774.00,-1786.00,10915.00,,,,12701.00,20299,"JX","Southeast Airlines","JX","Sun Jet International Inc.","D",1997,1,
-1771.51,-1264.09,6304.64,299.24,1059.00,489.35,7568.74,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines","L",2006,4,
-1763.27,-4334.63,12314.44,1952.16,2517.39,1655.61,16649.08,19690,"HA","Hawaiian Airlines Inc.","HA","Hawaiian Airlines Inc.","P",2005,1,
-1762.64,-1774.08,26043.85,0.00,1884.34,104.90,27817.93,21634,"KH","Aloha Air Cargo","KH","Aloha Air Cargo","D",2020,1,
-1761.43,-1576.12,8450.69,,,,10026.82,20203,"FCQ","Falcon Air Express","FCQ","Falcon Air Express","I",2003,1,
-1760.84,-1159.86,7738.88,,3555.66,56.76,8898.74,20057,"EZ","Evergreen International Inc.","EZ","Evergreen International Inc.","D",1995,2,
-1758.00,-1521.00,12859.00,1535.00,2796.00,1348.00,14380.00,20204,"MG","Champion Air","MG","MGM Grand Air Inc.","D",1992,3,
-1757.44,-1747.00,2968.01,,,,4715.00,20387,"PN","Pan American Airways Corp.","PN","Pan American Airways Corp.","D",2003,1,
-1757.25,-1679.07,6272.36,,1097.68,231.98,7951.43,20194,"JW","Arrow Air Inc.","JW","Arrow Air Inc.","L",1998,1,
-1753.27,-1107.28,16980.46,,,,18087.74,20204,"MG","Champion Air","MG","Champion Air","D",1998,2,
-1750.90,-1631.68,8470.16,,1463.92,290.57,10101.84,20194,"JW","Arrow Air Inc.","JW","Arrow Air Inc.","L",1998,2,
-1749.00,-2838.00,28852.00,,8239.00,1884.00,31690.00,20107,"FX","Federal Express Corporation","FM","Federal Express Corporation","L",1992,3,
-1748.63,-1734.78,11593.68,1306.18,2975.48,,13328.46,20402,"GL","Miami Air International","GL","Miami Air International","D",2018,2,
-1747.48,-1735.18,4743.77,578.75,494.33,40.44,6478.95,20310,"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic ","D",2019,3,
-1744.81,-1291.11,22228.92,,,,23520.03,21634,"KH","Aloha Air Cargo","KH","Aloha Air Cargo","D",2015,2,
-1743.00,-2111.00,46506.00,1414.00,7533.00,6547.00,48617.00,19687,"QX","Horizon Air","QX","Horizon Air","D",1992,1,
-1742.71,1560.86,250734.15,0.00,29896.70,669.41,249173.29,19917,"5X","United Parcel Service","5X","United Parcel Service","P",2015,3,
-1742.00,-1543.00,37065.00,4760.00,5535.00,3943.00,38608.00,20355,"US","US Airways Inc.","US","US Airways Inc.","L",2000,4,
-1739.00,-2254.00,20588.00,2337.00,3570.00,3612.00,22842.00,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.","L",1994,2,
-1733.34,-886.36,42403.96,2504.76,5955.55,3168.08,43290.32,20422,"SY","Sun Country Airlines d/b/a MN Airlines","SY","Sun Country Airlines d/b/a MN Airlines","D",2010,2,
-1733.00,-10901.00,69386.00,9010.00,15477.00,6102.00,80287.00,20017,"CS","Continental Micronesia","CS","Continental Micronesia","P",2001,4,
-1731.91,3034.31,52448.75,,,,49414.44,20254,"9L","Colgan Air","9L","Colgan Air","D",2009,1,
-1731.15,-1909.48,10007.41,848.09,1267.07,3.07,11916.89,20377,"X9","Omni Air International LLC","X9","Omni Air Express","D",2007,4,
-1731.00,-1910.00,681482.00,89902.00,122931.00,100468.00,683392.00,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.","L",2000,4,
-1730.75,-1163.70,4010.38,,,,5174.08,20151,"M6","Amerijet International","JH","Amerijet International","D",1995,4,
-1728.07,-721.54,15782.39,,,,16503.93,20173,"CDQ","Kitty Hawk International","CDQ","American International Airways Inc.","D",1991,4,
-1727.34,-1094.75,73648.92,8050.46,9394.37,7311.60,74743.67,20088,"FF","Tower Air Inc.","FF","Tower Air Inc.","A",1993,4,
-1725.00,-1725.00,14199.62,0.00,0.00,0.00,15924.62,20195,"WI","Sky Lease Cargo","WI","Sky Lease Cargo","I",2013,4,
-1724.89,-1609.73,5411.25,,,,7020.98,20284,"TCQ","Express.Net Airlines","TCQ","Trans Continental Airlines","D",2000,3,
-1723.79,-1723.79,15528.19,0.00,0.00,0.00,17251.99,20421,"SLQ","Sky King Inc.","SLQ","Sky King Inc.","D",2012,2,
-1723.05,-1434.59,7002.63,,925.52,91.27,8437.23,20193,"GR","Gemini Air Cargo Airways","GR","Gemini Air Cargo Airways","D",2002,3,
-1721.79,-1694.20,9026.18,,,,10720.38,20147,"T9","TransMeridian Airlines","T9","TransMeridian Airlines","I",2002,1,
-1720.38,-1708.36,15744.06,,,,17452.42,20147,"T9","TransMeridian Airlines","T9","TransMeridian Airlines","D",2004,3,
-1720.00,-2827.00,63850.00,12458.00,8653.00,7696.00,66677.00,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.","P",1998,1,
-1717.51,-2210.36,50640.38,,2431.03,0.60,52850.73,19874,"8C","Air Transport International","8C","Air Transport International","D",2008,3,
-1715.84,-623.69,300688.93,8410.15,49913.17,20994.67,301312.62,20436,"F9","Frontier Airlines Inc.","F9","Frontier Airlines Inc.","D",2010,2,
-1714.27,-1348.31,3190.08,,,,4538.38,21650,"EE","Eastern Airlines Group Inc.","EE","Eastern Airlines Group Inc.","D",2017,3,
-1709.84,-1628.13,16668.55,0.00,1111.59,264.17,18296.68,21236,"0JQ","Vision Airlines","0JQ","Vision Airlines","D",2012,3,
-1708.84,-1694.06,34300.35,1287.52,6366.96,423.81,35994.41,20423,"U5","USA 3000 Airlines","U5","USA 3000 Airlines","I",2006,2,
-1707.91,-2080.37,11708.22,,,,13788.59,20408,"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","5V","Tatonduk Outfitters Limited d/b/a Everts Air Alask","D",2020,1,
-1705.55,-1014.02,86840.51,12292.44,13084.14,3014.71,87854.53,20312,"TZ","ATA Airlines d/b/a ATA","TZ","American Trans Air Inc.","D",1994,3,
-1704.44,-1404.58,235695.84,0.00,30069.63,667.96,237100.41,19917,"5X","United Parcel Service","5X","United Parcel Service","P",2016,3,
-1703.09,-907.12,29482.51,,6222.98,735.90,30389.63,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","P",1999,3,
-1701.00,-1916.00,8161.00,1178.00,1557.00,1469.00,10077.00,20088,"FF","Tower Air Inc.","FF","Tower Air Inc.","L",1998,1,
-1700.00,94983.00,1527600.00,119414.00,170088.00,77258.00,1432617.00,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.","L",2014,2,
-1699.00,-383.00,20857.00,,,,21240.00,20218,"JKQ","Express One International Inc.","JKQ","Express One International Inc.","D",2001,2,
